30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.6290548000  -1.2454060000  0.0375875600  5  4
-0.6290548000  -1.2454060000  0.0375875600  6  4
-1.3643040000  -0.1032668000  -0.0553957800  1  4
-1.3643040000  -0.1032668000  -0.0553957800  4  4
-1.3643040000  -0.1032668000  -0.0553957800  5  4
-1.3643040000  -0.1032668000  -0.0553957800  6  4
-1.2867840000  2.0849350000  0.0313941700  1  3
1.1124400000  2.2008950000  0.0192453200  1  3
2.4869960000  0.1173561000  -0.0054356480  1  3
1.3128710000  -2.0483550000  0.0831741200  1  3
-1.0672100000  -2.2075950000  0.2812802000  1  3
-2.4483720000  -0.1285409000  -0.0217026800  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7508227000  1.1534570000  -0.0200003100  1  4
-0.7508227000  1.1534570000  -0.0200003100  4  4
-0.7508227000  1.1534570000  -0.0200003100  5  4
-0.7508227000  1.1534570000  -0.0200003100  6  4
0.6196568000  1.2523360000  0.0139481400  1  4
0.6196568000  1.2523360000  0.0139481400  4  4
0.6196568000  1.2523360000  0.0139481400  5  4
0.6196568000  1.2523360000  0.0139481400  6  4
1.3989780000  0.0852818300  0.0041722280  1  4
1.3989780000  0.0852818300  0.0041722280  4  4
1.3989780000  0.0852818300  0.0041722280  5  4
1.3989780000  0.0852818300  0.0041722280  6  4
0.7548499000  -1.1471210000  0.0060527080  1  4
0.7548499000  -1.1471210000  0.0060527080  4  4
0.7548499000  -1.1471210000  0.0060527080  5  4
0.7548499000  -1.1471210000  0.0060527080  6  4
-0.6275201000  -1.2457540000  0.0410289300  1  4
-0.6275201000  -1.2457540000  0.0410289300  4  4
-0.6275201000  -1.2457540000  0.0410289300  5  4
-0.6275201000  -1.2457540000  0.0410289300  6  4
-1.3624070000  -0.1050526000  -0.0588448300  1  4
-1.3624070000  -0.1050526000  -0.0588448300  4  4
-1.3624070000  -0.1050526000  -0.0588448300  5  4
-1.3624070000  -0.1050526000  -0.0588448300  6  4
-1.2818600000  2.0745640000  0.0323377500  1  3
1.1039920000  2.1881320000  0.0249042600  1  3
2.4898810000  0.1178780000  -0.0086122600  1  3
1.3123830000  -2.0427610000  0.0901193100  1  3
-1.0663020000  -2.2059140000  0.2979870000  1  3
-2.4458130000  -0.1322639000  -0.0219720000  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7485290000  1.1521100000  -0.0231246900  1  4
-0.7485290000  1.1521100000  -0.0231246900  4  4
-0.7485290000  1.1521100000  -0.0231246900  5  4
-0.7485290000  1.1521100000  -0.0231246900  6  4
0.6202018000  1.2521770000  0.0150613100  1  4
0.6202018000  1.2521770000  0.0150613100  4  4
0.6202018000  1.2521770000  0.0150613100  5  4
0.6202018000  1.2521770000  0.0150613100  6  4
1.3980350000  0.0853454600  0.0044654000  1  4
1.3980350000  0.0853454600  0.0044654000  4  4
1.3980350000  0.0853454600  0.0044654000  5  4
1.3980350000  0.0853454600  0.0044654000  6  4
0.7545339000  -1.1443160000  0.0066504670  1  4
0.7545339000  -1.1443160000  0.0066504670  4  4
0.7545339000  -1.1443160000  0.0066504670  5  4
0.7545339000  -1.1443160000  0.0066504670  6  4
-0.6255254000  -1.2458410000  0.0440939300  1  4
-0.6255254000  -1.2458410000  0.0440939300  4  4
-0.6255254000  -1.2458410000  0.0440939300  5  4
-0.6255254000  -1.2458410000  0.0440939300  6  4
-1.3608710000  -0.1063925000  -0.0615192700  1  4
-1.3608710000  -0.1063925000  -0.0615192700  4  4
-1.3608710000  -0.1063925000  -0.0615192700  5  4
-1.3608710000  -0.1063925000  -0.0615192700  6  4
-1.2791690000  2.0648900000  0.0326679900  1  3
1.0962070000  2.1792830000  0.0301287000  1  3
2.4919470000  0.1181640000  -0.0108431500  1  3
1.3142110000  -2.0358650000  0.0968889700  1  3
-1.0678690000  -2.2040370000  0.3130465000  1  3
-2.4438760000  -0.1362462000  -0.0233250700  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7457679000  1.1508080000  -0.0261258700  1  4
-0.7457679000  1.1508080000  -0.0261258700  4  4
-0.7457679000  1.1508080000  -0.0261258700  5  4
-0.7457679000  1.1508080000  -0.0261258700  6  4
0.6210402000  1.2517310000  0.0167402900  1  4
0.6210402000  1.2517310000  0.0167402900  4  4
0.6210402000  1.2517310000  0.0167402900  5  4
0.6210402000  1.2517310000  0.0167402900  6  4
1.3968550000  0.0857180500  0.0042542700  1  4
1.3968550000  0.0857180500  0.0042542700  4  4
1.3968550000  0.0857180500  0.0042542700  5  4
1.3968550000  0.0857180500  0.0042542700  6  4
0.7548878000  -1.1413380000  0.0073808340  1  4
0.7548878000  -1.1413380000  0.0073808340  4  4
0.7548878000  -1.1413380000  0.0073808340  5  4
0.7548878000  -1.1413380000  0.0073808340  6  4
-0.6232355000  -1.2462420000  0.0472994400  1  4
-0.6232355000  -1.2462420000  0.0472994400  4  4
-0.6232355000  -1.2462420000  0.0472994400  5  4
-0.6232355000  -1.2462420000  0.0472994400  6  4
-1.3594440000  -0.1069529000  -0.0640263400  1  4
-1.3594440000  -0.1069529000  -0.0640263400  4  4
-1.3594440000  -0.1069529000  -0.0640263400  5  4
-1.3594440000  -0.1069529000  -0.0640263400  6  4
-1.2791800000  2.0554130000  0.0315253400  1  3
1.0893410000  2.1718270000  0.0363769800  1  3
2.4917960000  0.1187949000  -0.0109840200  1  3
1.3178450000  -2.0317500000  0.1034178000  1  3
-1.0699650000  -2.2028630000  0.3251196000  1  3
-2.4417410000  -0.1417760000  -0.0249922300  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7435253000  1.1493620000  -0.0292628400  1  4
-0.7435253000  1.1493620000  -0.0292628400  4  4
-0.7435253000  1.1493620000  -0.0292628400  5  4
-0.7435253000  1.1493620000  -0.0292628400  6  4
0.6220451000  1.2510570000  0.0185501000  1  4
0.6220451000  1.2510570000  0.0185501000  4  4
0.6220451000  1.2510570000  0.0185501000  5  4
0.6220451000  1.2510570000  0.0185501000  6  4
1.3952270000  0.0859858300  0.0038441920  1  4
1.3952270000  0.0859858300  0.0038441920  4  4
1.3952270000  0.0859858300  0.0038441920  5  4
1.3952270000  0.0859858300  0.0038441920  6  4
0.7552549000  -1.1387750000  0.0078852850  1  4
0.7552549000  -1.1387750000  0.0078852850  4  4
0.7552549000  -1.1387750000  0.0078852850  5  4
0.7552549000  -1.1387750000  0.0078852850  6  4
-0.6213278000  -1.2465980000  0.0506230000  1  4
-0.6213278000  -1.2465980000  0.0506230000  4  4
-0.6213278000  -1.2465980000  0.0506230000  5  4
-0.6213278000  -1.2465980000  0.0506230000  6  4
-1.3574150000  -0.1072614000  -0.0659171700  1  4
-1.3574150000  -0.1072614000  -0.0659171700  4  4
-1.3574150000  -0.1072614000  -0.0659171700  5  4
-1.3574150000  -0.1072614000  -0.0659171700  6  4
-1.2800470000  2.0474110000  0.0302245500  1  3
1.0867250000  2.1691770000  0.0439470400  1  3
2.4914480000  0.1201279000  -0.0108333300  1  3
1.3235910000  -2.0288170000  0.1111063000  1  3
-1.0717600000  -2.2007670000  0.3360676000  1  3
-2.4370630000  -0.1457157000  -0.0262796500  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7412202000  1.1477530000  -0.0321348100  1  4
-0.7412202000  1.1477530000  -0.0321348100  4  4
-0.7412202000  1.1477530000  -0.0321348100  5  4
-0.7412202000  1.1477530000  -0.0321348100  6  4
0.6231257000  1.2500160000  0.0205386300  1  4
0.6231257000  1.2500160000  0.0205386300  4  4
0.6231257000  1.2500160000  0.0205386300  5  4
0.6231257000  1.2500160000  0.0205386300  6  4
1.3935730000  0.0865214100  0.0037864340  1  4
1.3935730000  0.0865214100  0.0037864340  4  4
1.3935730000  0.0865214100  0.0037864340  5  4
1.3935730000  0.0865214100  0.0037864340  6  4
0.7552379000  -1.1359820000  0.0084572290  1  4
0.7552379000  -1.1359820000  0.0084572290  4  4
0.7552379000  -1.1359820000  0.0084572290  5  4
0.7552379000  -1.1359820000  0.0084572290  6  4
-0.6191685000  -1.2468940000  0.0537873600  1  4
-0.6191685000  -1.2468940000  0.0537873600  4  4
-0.6191685000  -1.2468940000  0.0537873600  5  4
-0.6191685000  -1.2468940000  0.0537873600  6  4
-1.3557570000  -0.1074532000  -0.0677214300  1  4
-1.3557570000  -0.1074532000  -0.0677214300  4  4
-1.3557570000  -0.1074532000  -0.0677214300  5  4
-1.3557570000  -0.1074532000  -0.0677214300  6  4
-1.2822720000  2.0411280000  0.0296076000  1  3
1.0855520000  2.1689650000  0.0536439000  1  3
2.4889720000  0.1197473000  -0.0114760600  1  3
1.3294420000  -2.0279770000  0.1195723000  1  3
-1.0727850000  -2.1991160000  0.3460684000  1  3
-2.4338150000  -0.1501053000  -0.0280510200  1  3
30
x    y    z    ((1<<(angular_quantum_number*2))+magnetic_quantum_number)    number_of_primitives
-0.7391310000  1.1458380000  -0.0350152700  1  4
-0.7391310000  1.1458380000  -0.0350152700  4  4
-0.7391310000  1.1458380000  -0.0350152700  5  4
-0.7391310000  1.1458380000  -0.0350152700  6  4
0.6244277000  1.2494370000  0.0231404400  1  4
0.6244277000  1.2494370000  0.0231404400  4  4
0.6244277000  1.2494370000  0.0231404400  5  4
0.6244277000  1.2494370000  0.0231404400  6  4
1.3922220000  0.0871293700  0.0040269800  1  4
1.3922220000  0.0871293700  0.0040269800  4  4
1.3922220000  0.0871293700  0.0040269800  5  4
1.3922220000  0.0871293700  0.0040269800  6  4
0.7558832000  -1.1331390000  0.0091961860  1  4
0.7558832000  -1.1331390000  0.0091961860  4  4
0.7558832000  -1.1331390000  0.0091961860  5  4
0.7558832000  -1.1331390000  0.0091961860  6  4
